"Direction","Code","Name","Type","Description"
"output","DBSRA4010","DBSRA linked to a 40-10 rule","Catch","A 40-10 harvest control rule is added to the DBSRA MP"
"output","DCAC","Depletion-Corrected Average Catch","Catch","An MSY proxy that accounts for catches occuring whilst dropping to productive stock sizes "
"output","DCAC_ML","DCAC using mean length to estimate depletion","Catch","Mean length estimate of depletion is used to inform DCAC depletion"
"output","DCAC40","DCAC assuming depletion is 40%","Catch","DCAC where stock depletion is fixed at 40%"
"output","DCAC4010","DCAC linked to a 40-10 rule","Catch","A 40-10 harvest control rule is added to the DCAC MP"
"output","EDCAC","Extra DCAC","Catch","DCAC * 2 * depletion * B0 / BMSY"
"output","DD","Delay-Difference assessment ","Pop.D","A delay difference model is fitted to historical abundance indices and catches. The model does not estimate process error. "
"output","DD4010","DD linked to a 40-10 rule","Pop.D","A 40-10 harvest control rule is added to the DD MP"
"output","DepF","Fratio linked to a production curve control rule","EmInd","Below BMSY, the OFL is mulitplied by a production curve ie. dep x (1-dep) x 4"
"output","DynF","Dynamic Fratio MP","PopDy","Inferred derivative of surplus production with biomass is used to adjust F in relation to M"
"output","Fadapt","Adaptive F MP","PopDy","Inferred derivative of surplus production with biomass is used to adjust F between bounds FMSY/2 and 2FMSY"
"output","Fdem","Demographic FMSY method","LH","FMSY is calculated as r/2 where r is calculated from a demographic approach (inc steepness). Coupled with an estimate of current abundance that gives you the OFL."
"output","Fdem_CC","Fdem linked to a catch curve","LH","Current abundance estimates from a catch curve are linked to Fdem estimate of FMSY"
"output","Fdem_ML","Fdem using mean length to estimate depletion","LH","Mean length estimate of current abundance is lined to Fdem estimate of FMSY"
"output","FMSYref","FMSY ref","LH","A reference FMSY method (uses perfect information about FMSY)"
"output","FMSYref50","Half of FMSY ref","LH","50% of true simulated OFL"
"output","FMSYref75","75% of FMSY ref","LH","75% of true simulated OFL"
"output","Fratio","Fixed FMSY to M ratio","LH","FMSY is a fixed fraction of natural mortality rate"
"output","Fratio4010","Fratio with 40-10 rule","LH","Calculates the OFL based on a fixed FMSY/M multiplied by a current estimate of abundance. In this method DBSRA is paired with the 40-10 rule; OFL = 0 at B10%."
"output","Fratio_CC","Fratio linked to a catch curve","LH","Current abundance estimates from a catch curve are linked to the Fratio MP"
"output","Fratio_ML","Fratio using mean length to estimate depletion","Length","Mean length estimate of depletion is used to inform Fratio abundance"
"output","Fratio4010","Fratio linked to a 40-10 rule","LH","A 40-10 harvest control rule is added to the Fratio MP"
"output","GB_CC","Geromont and Butterworth constant catch","Catch","MSY seeking rule that uses average historical catch as a proxy for MSY"
"output","GB_slope","Geromont and Butterworth CPUE slope","EmInd","TAC recommendations to stabilize CPUE"
"output","GB_target","Geromont and Butterworth target CPUE and catch","EmInd","TAC recommendations to achieve target CPUE and target catch"
"output","Gcontrol","G-control MP","PopDy","Inferred derivative of surplus production with biomass is used to alter the TAC"
"output","Islope1","CPUE slope MP","EmInd","TAC is adjusted to maintain constant CPUE"
"output","Islope4 ","CPUE slope MP (more biologically precautionary)","EmInd","TAC is adjusted to maintain constant CPUE"
"output","Itarget1","CPUE target MP","EmInd","TAC is adjusted to achieve a target CPUE"
"output","Itarget4","CPUE target MP (more biologically precautionary)","EmInd","TAC is adjusted to achieve a target CPUE"
"output","LstepCC1","Mean length MP","Length","Mean length relative to historical levels is used to alter the TAC"
"output","LstepCC4","Mean length MP (more biologically precautionary)","Length","Mean length relative to historical levels is used to alter the TAC"
"output","Ltarget1","Length target MP","Length","TAC is adjusted to reach a target mean length"
"output","Ltarget4","Length target MP (more biologically precautionary)","Length","TAC is adjusted to reach a target mean length"
"output","MCD","Mean Catch Depletion MP","Catch","MP to demonstrate high information content of depletion OFL = mean catches x 2 x dep "
"output","MCD4010","MCD linked to a 40-10 rule","Catch","A 40-10 harvest control rule is added to the MCD MP"
"output","Nref","No reference point","Catch","Sets catch = 0."
"output","Rcontrol","R-control MP","LH","A demographic prior for intrinsic rate of increase is used to firm up surplus production calculation of G-control"
"output","Rcontrol2","Rcontrol with quadratic SP-B relationship","LH","As Rcontrol but fits a quadratic relationship to the derivative of SP with stock biomass"
"output","SBT1","Southern Bluefin Tuna 1","EmInd","An MP that adjusts TACs according to apparent trend in CPUE"
"output","SBT2","Southern Bluefin Tuna 2","EmInd","An MP that adjusts TACs according to achieve target CPUE and catch"
"output","SPmod","Surplus production based TAC modifier","PopDy","Inferred derivative of surplus production with biomass is used to adjust the TAC"
"output","SPMSY","Catch-trend MSY MP","Catch","Catch trends reflect depletion and combined with catches can be used to find viable r-K pairs. The OFL is dep x (1-dep) x 2 x r x K"
"output","SPslope","Slope in surplus production MP","PopDy","Inferred derivative of surplus production with biomass is used to adjust the TAC"
"output","SPSRA","Surplus Production Stock Reduction Analysis","PopDy","Like DBSRA but uses a surplus prodcution model and a prior for intrinisic rate of increase"
"output","SPSRA_ML","SPSRA using mean length to estimate depletion","Length","mean length estimate of depletion is used to inform SPSRA depletion"
"output","YPR","Yield Per Recruit","LH","Yield Per Recruit estimate of F0.1 (FMSY proxy) multiplied by estimate of current stock biomass"
"output","YPR_CC","YPR linked to a catch-curve ","LH","Current abundance estimates of a catch curve analysis is linked to the YPR MP"
"output","YPR_ML","YPR using mean lenth to estimate current abundance","LH;Lt","Mean length estimate of current abundance is used to inform YPR abundance"
